"Filename","Frame","Time (mins)","OpCode","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Activity","count"
"EP_RS2_B5_20Apr2026_GX014682.MP4",38994,21.685,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Omobranchus.anolius","Chase conspecific",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",39379,21.8991,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",43662,24.2809,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Abudefduf.sexfasciatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",46330,25.7646,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Acanthopagrus.australis","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",46373,25.7885,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",46373,25.7885,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",46405,25.8063,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Girella.elevata","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",46945,26.1066,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
"EP_RS2_B5_20Apr2026_GX014682.MP4",47018,26.1472,"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Parupeneus.spilurus","Passing",1
