"Code","Frame","Time (mins)","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","spp","Stage","Activity","count"
"EP_RS2_B5_20Apr2026",59920,33.3222,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5","Microcanthus.strigatus","AD","Transient",1
"EP_RS2_B7_20Apr2026",10265,5.7085,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",10265,5.7085,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",12460,6.9291,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Omobranchus.rotundiceps","AD","Passing",1
"EP_RS2_B7_20Apr2026",19619,10.9103,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",22875,12.721,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",25517,14.1903,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B7_20Apr2026",25517,14.1903,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B7_20Apr2026",26461,14.7153,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",28466,15.8303,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B7_20Apr2026",30392,16.9013,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Feeding",1
"EP_RS2_B7_20Apr2026",31049,17.2667,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B7_20Apr2026",31793,17.6804,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",35577,19.7848,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Acanthopagrus.australis","AD","Passing",1
"EP_RS2_B7_20Apr2026",36051,20.0484,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Favonigobius.exquisitus","AD","Passing",1
"EP_RS2_B7_20Apr2026",44084,24.5156,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B7_20Apr2026",44915,24.9777,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B7_20Apr2026",45532,25.3209,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Passing",1
"EP_RS2_B7_20Apr2026",45532,25.3209,"SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","Parupeneus.spilurus","AD","Passing",1
